,Reward
0,13.706906326290339
1,35.569395702300156
2,13.061113998609107
3,9.673994107999357
4,8.293421015319444
5,6.705784808623556
6,7.774100372217546
7,7.127490005396179
8,6.8092392860080055
9,8.696572896090847
10,7.604927478750465
11,6.776809904776307
12,8.328263397403841
13,7.782050182737322
14,6.067852149253288
15,7.985192243372216
16,7.917360889269899
17,6.847527734073142
18,7.378496502609654
19,6.849630140504026
20,8.127583765441408
21,6.4779017985312946
22,9.319821130840207
23,9.355275656422004
24,22.844004834503217
25,53.4746558730609
26,100.7025374499333
27,95.19590493450488
28,51.41605644082099
29,89.42303370648219
30,88.99984371677552
31,110.08582040374094
32,95.9631009502966
33,84.49700239690885
34,104.61583121505787
35,111.21930884110583
36,102.9850413783359
37,112.39355688973471
38,98.63319462092618
39,107.17087722469797
40,111.12043331434002
41,96.22080481871942
42,102.36016646058727
43,109.22694862181471
44,96.2809214776373
45,133.12662204583873
46,105.62205230543208
47,122.28716808404067
48,123.52358802753375
49,115.05676846996373
50,118.49021221410578
51,116.94363590115752
52,114.99012798710696
53,112.30129398554027
54,131.68354419423406
55,123.51964375554684
56,117.20003989080458
57,131.50353327486658
58,124.14017386473586
59,118.13543554570782
60,124.48738154033342
61,111.68699941661973
62,125.26842386143004
63,130.03138021154018
64,114.92063807049018
65,109.94214884047125
66,131.04702067766854
67,128.8663731826327
68,121.79969156753563
69,139.46272287128818
70,126.25460284146492
71,133.44308154136132
72,137.3436463505135
73,122.84402669955797
74,130.83010759284386
75,148.9309971623866
76,129.44794054047978
77,128.58517579957544
78,133.00457178326525
79,132.79165466033425
80,161.0881277128595
81,132.4799664898472
82,135.66330362267146
83,142.7308815898971
84,151.23991516247443
85,146.65089556516025
86,136.48522665317364
87,176.85301699126256
88,141.28832536851635
89,147.982589331861
90,136.14801116479532
91,163.6112393413027
92,160.21943063790718
93,143.67592445094343
94,160.49125251912753
95,176.44804580796207
96,161.55762098403446
97,155.355389794724
98,145.70336732947993
99,149.30883180346584
100,158.01591327668547
101,148.49175791365334
102,158.09928507174604
103,139.18074912248906
104,155.87454680859798
105,156.16256024788913
106,140.88508653802685
107,163.98533237798506
108,184.76160151440922
109,142.14972594074007
110,168.92982626179565
111,144.8575014402618
112,160.80729797647228
113,153.58315531891677
114,149.68818531629353
115,176.98015531388614
116,138.4514882151769
117,157.68779861068134
118,175.79568647158146
119,168.537848666047
120,178.51985819389765
121,152.42482500761164
122,192.78014581974742
123,157.7107339007597
124,179.5409864689172
125,243.16283682511542
126,169.98144133460556
127,213.76514482306334
128,185.54704739528864
129,193.1085369157243
130,172.53293692647767
131,230.3919118287279
132,167.258643190925
133,154.2824327179175
134,165.37936113163596
135,239.13675103186154
136,156.8438060599492
137,182.12691502403612
138,149.4648891144061
139,188.6771239513168
140,312.7241997624983
141,190.90282586958304
142,207.90200009840171
143,172.8753671161681
144,228.69807668695577
145,196.8703277108161
146,208.65901703713487
147,199.39730061889608
148,214.4881954632845
149,192.5946558193654
150,160.33380428575947
151,170.6731904483546
152,236.14100316937945
153,178.27719590066073
154,343.3184543685101
155,265.994782571426
156,185.80340886396385
157,265.8209625163156
158,310.39563375125397
159,284.6063318940881
160,198.28784876120193
161,288.1202543434796
162,260.24622353212186
163,273.68060541511807
164,265.10990105036245
165,353.0741758888704
166,251.74636636171468
167,294.22184041071233
168,330.06122562741433
169,415.8568277896731
170,270.1467963860719
171,373.13374511297525
172,241.13783972795363
173,391.06061082900294
174,322.9878117593399
175,377.3610116944191
176,300.8557459930543
177,385.23452185537053
178,418.5795344444712
179,207.89320468015106
180,345.3935702314282
181,401.4145695806249
182,289.8052538065315
183,384.74669441837307
184,318.5680932329633
185,336.4243017069557
186,345.66853694749716
187,396.74275875526945
188,351.2873212790401
189,291.5054741873822
190,312.5948560851163
191,376.6531707697479
192,422.4334988420685
193,299.362642963483
194,420.92878673637614
195,473.3210654195075
196,651.4946342050198
197,323.84517069982917
198,345.79354377990836
199,387.5805665965717
200,273.5384622581646
201,258.593410479284
202,297.7083570617224
203,457.2826807297774
204,236.1517258842958
205,335.9916862834758
206,281.7202337045983
207,273.8349642101609
208,366.778842688663
209,459.74853161533207
210,499.10669789296435
211,322.4783752047447
212,298.7458292130817
213,484.9728441162769
214,428.44509764400846
215,326.30839487464243
216,460.0762790282168
217,252.72638112965495
218,229.8202950622222
219,611.2141467465535
220,183.47325687203454
221,367.543528165664
222,235.43378207173907
223,464.210569827653
224,473.644793236569
225,609.0942713958963
226,270.62027836565096
227,316.2892746953734
228,520.8352000227634
229,206.8209314899296
230,407.85538825986424
231,397.6563369136587
232,270.4730078416563
233,497.672696247109
234,431.9950445349924
235,491.84291158587814
236,484.8627563659598
237,434.37853767590383
238,646.9224375915452
239,276.68984094357126
240,548.1489801980578
241,543.6025157909669
242,603.9345090848366
243,654.4003663863535
244,536.2748056471672
245,420.0950959431965
246,318.493772774994
247,561.409972140851
248,385.2064912890102
249,495.8669109033779
250,549.7790998925525
