,Reward,Average Reward
0,7.2374257417161,7.2374257417161
1,16.7080420501036,16.7080420501036
2,8.54006671079493,8.54006671079493
3,8.27690888115066,8.27690888115066
4,6.66747298383016,9.48598327351909
5,7.1198454816517,9.46246722150621
6,11.5882283704402,8.43850448557353
7,8.18956052883456,8.36840324918146
8,7.73553733625814,8.26012894020296
9,7.52933102101017,8.43250054763896
10,8.12324283288318,8.63318001788525
11,8.26795263936445,7.9691248716701
12,5.8945418810355,7.51012114211029
13,5.85737856966046,7.13448938879075
14,6.25550606501559,6.87972439759184
15,6.96629335118,6.6483345012512
16,6.42004373493124,6.27875272036456
17,7.92573252684694,6.68499084952684
18,6.69914000992,6.85334313757875
19,8.39974366831104,7.28219065823784
20,7.76012734434695,7.44095745687123
21,6.75523394691421,7.50799549926783
22,8.39061514787009,7.60097202347246
23,7.61038313021369,7.7832206475312
24,6.92743010142137,7.48875793415326
25,8.0981408125643,7.55636062779674
26,7.80412795072449,7.76613942855879
27,6.64661285232648,7.41733896945007
28,5.81150979200853,7.05756430180904
29,5.84053330385584,6.84018494229593
30,8.52212725795241,6.92498223137355
31,8.13454072306498,6.99106478584165
32,6.85637190058199,7.03301659549275
33,5.78490116848732,7.02769487078851
34,7.2067648327788,7.3009411765731
35,7.95890447526572,7.18829662003576
36,7.92875967386868,7.1471404101965
37,7.99961159113776,7.37578834830765
38,6.87807124019651,7.59442236264949
39,7.57672248285969,7.66841389266567
40,7.42996062562392,7.56262512273731
41,6.73103321956323,7.32307983187622
42,7.17400890406605,7.15795929446188
43,7.84902909228897,7.35215086488037
44,8.14685682055074,7.46617773241858
45,7.26398272686131,7.43298215266606
46,8.31048964988441,7.7488734387303
47,8.05940726148133,7.92595311021335
48,7.43572862850387,7.84329301745633
49,7.09592837516411,7.633107328379
50,5.82440359747918,7.34519150250258
51,8.15479121915389,7.31405181635647
52,7.4551062639354,7.19319161684729
53,6.57334290512655,7.02071447217183
54,7.45971532467682,7.09347186207437
55,6.76742262487189,7.28207566755291
56,8.82358841447452,7.41583510661704
57,8.56549954402504,7.63791376263496
58,6.84797862955099,7.69284090751985
59,6.93971584562067,7.58884101170862
60,8.75196034202556,7.98574855513936
61,8.81614314812674,7.9842595018698
62,7.9686168384678,7.86488296075835
63,8.25022875287807,8.14533298542377
