,Loss
0,0.13428639473022486
1,0.13458069874322973
2,0.16892098514363169
3,0.14084015018306673
4,0.08731294556710054
5,0.06731798898545094
6,0.04393260589567945
7,0.032724171427616966
8,0.026812570501715528
9,0.01764060957284528
10,0.024439370064010292
11,0.03848407845143811
12,0.03414175522193545
13,0.05868085763177078
14,0.08345685109961778
15,0.08142729593528202
16,0.07583575807948364
17,0.06967131012643221
18,0.07356567015667678
19,0.07916211951669538
20,0.06412528089131228
21,0.06822856810176745
22,0.03479558424442075
23,0.11987144142185571
24,0.0396227565335721
25,0.08989938087470364
26,0.17393652225873665
27,0.11941549067487359
28,0.18948870876338333
29,0.08583860544167692
30,0.1340157257779538
31,0.1968067027941288
32,0.24592262036458123
33,0.06725095347646856
34,0.1509166809861199
35,0.056008633226156235
36,0.19169339269865304
37,0.3351967131020501
38,0.06410540636870792
39,1.6127187790902098
40,0.5201734507070797
41,2.1674165566029844
42,0.1220126139902277
43,0.12397363174968631
44,0.3499912501356448
45,0.4491008648089519
46,0.11062220176390838
47,0.38287527802895055
48,0.04211587245963529
49,0.17183638628630432
50,0.047592045013243475
51,0.18977757872198708
52,0.3070216732656263
53,0.06677436905447394
54,0.2739302923437208
55,0.2602782230998855
56,0.15235686542837357
57,0.058548099353379256
58,0.1228112274700834
59,0.1758614370628493
60,0.34760689658578486
61,0.2998356441850774
62,0.059100271540228275
63,0.04926512588717742
64,0.1663394212439016
65,0.05116461260040524
66,0.29976831083768046
67,0.2126723881914586
68,0.028445135880610907
69,0.3163890407384315
70,0.12731100490200334
71,0.21853397813829362
72,0.10099273146197447
73,0.06259905845008688
74,0.02925303464580793
75,0.1192988188563561
76,0.15560295952027445
77,0.026254526694538073
78,0.030708760173729387
79,0.13467044041026383
80,0.05081056602866738
81,0.06188987081695814
82,0.17222264857264236
83,0.07410512815695255
84,0.06754533111816272
85,0.22612868972655634
86,0.1753876081573253
87,0.030684717014261766
88,0.16035787391592748
89,0.13593543271163072
90,0.04108587661749539
91,0.0460330488438899
92,0.1055406915439562
93,0.1515159959672019
94,0.15149320661730598
95,0.07933441541426874
96,0.1047546571411658
97,0.06208417443785948
98,0.049721445470640904
99,0.049784017718047836
100,0.0596608100226149
101,0.08300180898222606
102,0.08914837085612817
103,0.04636939386837184
104,0.059782596756485874
105,0.15938084742520003
106,0.13842663554905812
107,0.04864690507965861
108,0.07819529723201413
109,0.09584371794780963
110,0.03485055172095599
111,0.08849358313673292
112,0.047241384872995694
113,0.13652230145526117
114,0.0792181165626971
115,0.06924405119825679
116,0.07303269102121704
117,0.04797971895613955
118,0.12406563620352244
119,0.16326278750784695
120,0.10988337800372391
121,0.05271059225051431
122,0.03546466023544781
123,0.05290318038350961
124,0.0696063392162614
125,0.10796039398992434
126,0.18179554481175728
127,0.15093788865124225
128,0.13409993405548448
129,0.1449299321800936
130,0.09481896760926248
131,0.033907628757151545
132,0.10501062640178134
133,0.12766736900784964
134,0.0595289758232866
135,0.051603373677880884
136,0.05700525178690441
137,0.10636192238525836
138,0.11430483282456408
139,0.06146036450381871
140,0.09456265397930111
141,0.17779261698306073
142,0.07140625762986019
143,0.07987516650173347
144,0.13483145584905287
145,0.06092907255961109
146,0.08983151611173526
