,Reward
0,23.780285467051165
1,626.8354713879369
2,512.7692353885692
3,314.5281238836602
4,227.8676022024453
5,496.34339120180243
6,178.0136629987883
7,184.9873955511116
8,715.5948837079349
9,266.65198555356034
10,4488.903581135083
11,1350.1464614312763
12,288.51714246606736
13,1455.7921190700106
14,373.32549892269054
15,289.7515113800951
16,268.9350758031619
17,1095.2662741855004
18,495.4445443445065
19,305.0567730545132
20,242.2756214025054
21,1137.5955310034872
22,231.77015124268604
23,252.98125035181718
24,425.68106385488056
25,4175.591090182953
26,1307.3840196873862
27,622.2286315118289
28,950.7401093798932
29,385.90499730131535
30,269.0916853549893
31,344.1363446687058
32,4780.518841691753
33,1698.8517469812052
34,517.8384199208031
35,271.22968172355445
36,873.2068414081407
37,6.8625410270867455
38,6.931480799107743
39,6.591678464345986
40,7.021939130798735
41,6.659322712771897
42,6.1272047952760325
43,7.026225593397031
44,8.107710559581768
45,245.17869024294248
46,2198.945304088592
47,516.7704427720444
48,2094.7411665039212
49,2699.730987117843
50,1778.1212975420528
51,682.3246702840763
52,1629.8354931080207
53,4462.694922737346
54,2106.1694077159477
55,4776.311534628055
56,1583.846462590718
57,3063.024494236876
58,4002.056300850208
59,1166.459086393718
60,1307.1778690562721
61,446.1389747086977
62,3253.905765516941
63,1643.3990141493048
64,7537.566418165057
65,1049.86396782
66,6349.865725451719
67,7476.801757078841
68,1114.769224912348
69,1717.156318693894
70,1419.8621653237751
71,2591.23354034306
72,466.13476036046467
73,318.58475995524077
74,217.43123633914138
75,232.52376568185713
76,409.1212217122798
77,2197.0186825883357
78,559.4010590861382
79,4509.264124945046
80,5209.471678194096
81,3722.755841078296
82,6068.58998382989
83,623.5933110839637
84,1140.1759299974403
85,4369.939227101189
86,294.1140761283094
87,263.9873558716703
88,571.0649862361365
89,2053.7354339179724
90,2484.6641156882088
91,486.1788055243495
92,350.6337480484898
93,6202.385590380796
94,2969.6388275176187
95,1659.6267371404892
96,411.29080641067924
97,2310.821730330019
98,692.2068764715083
99,394.38444375458243
100,919.6459687283482
101,3313.9814950438326
102,546.5861137586967
103,2245.912789064132
104,1559.4898423593347
105,330.8222781549127
106,453.54773370603976
107,1949.9961901899028
108,433.42328229807015
109,414.8312251779422
110,2427.9064991779915
111,504.3435533442271
112,1368.108006021526
113,686.0459688474812
114,648.5806661527658
115,3634.9404888536283
116,1135.8651552960025
117,329.1289512756207
118,480.7380479097174
119,986.5473691308033
120,4692.136403145866
121,364.00031537351333
122,277.0460551145152
123,289.9952715023182
124,2602.979661858235
125,13043.024494316453
126,2731.204920243011
127,1470.0366142735304
128,3932.660667970333
129,848.8167747239495
130,5060.770633327822
131,4532.343278433973
132,643.1305580372854
133,2761.6698255131314
134,1874.4379023845863
135,652.7166657139345
136,514.1229886232006
137,400.33457375672754
138,684.6455629216103
139,2753.4919761481874
140,451.59787364043854
141,2548.743371689011
142,3113.3689160424874
143,2119.031546905439
144,5949.105164327738
145,2438.4607264343013
146,538.6093616206672
147,3761.1843574868913
148,2161.0092633520017
149,690.6297167562942
150,3750.7699439755647
151,6269.407408130252
152,2459.1240664159577
153,1885.8708382985049
154,2628.0928052490044
155,470.26835929576123
156,444.4866860931704
157,4365.63176878052
158,3928.2498908819466
159,441.3073718184113
160,405.4491842066538
161,653.6615387173593
162,599.9955227124453
163,297.7105017765709
164,713.6813604857089
165,3359.6513823132495
166,1877.3088831338064
167,1701.5678911670716
168,2518.918598947083
169,1195.340754237438
170,909.8423213801276
171,847.8836865023819
172,1253.8115399590552
173,686.8802352480292
174,467.03079562269465
175,9132.521910456939
176,1101.7494797431773
177,4167.494912881458
178,392.17029973108504
179,1930.7910496478255
180,11507.92387637367
181,2332.1752975001464
182,373.52449180966937
183,511.1433203516657
184,5476.99418825728
185,4751.6555483621105
186,3265.1231072643095
187,2985.7045285772656
188,2854.142169588962
189,382.56569484702516
190,1092.9188061661675
191,3475.7951520646625
192,785.5249384288077
193,3190.880292947118
194,537.0264897070958
195,391.60886823535253
196,5442.929081576214
197,392.3835228826056
198,407.31132949430486
199,1269.9925917674207
200,920.9099505071391
201,1228.4667167145105
202,297.6357434269661
203,2135.461996018839
204,2162.8437764775354
205,2590.1894140536083
206,1470.4704830488624
207,8750.314037443046
208,2014.354613950772
209,580.2049109061634
210,6066.211838713111
211,2629.1964321919672
212,1221.6937638319582
213,361.4701122482839
214,537.2278765750551
215,710.1842793053263
216,1334.574456289822
217,9833.79729257992
218,2717.4342379742757
219,565.1184121032002
220,7594.470323697469
221,1162.0961878714575
222,519.2143002927613
223,901.1329066940258
224,431.1939517876215
225,955.0638710091
226,361.06526533898796
227,2827.8398099884753
228,2456.7068698173603
229,2646.9336659700425
230,1518.1505926737361
231,581.0702993170696
232,396.9549156125925
233,3681.4142180274002
234,6316.045206327713
235,2063.5487795836098
236,838.855650857841
237,2400.8178021148788
238,763.0636150374198
239,6943.580663493664
240,2842.012598347506
241,2500.2611123938723
242,2094.1912861069604
243,1979.9922267949307
244,5766.461533372112
245,652.1179299222256
246,1803.8456463356329
247,7086.762896958236
248,3862.3444566796384
249,360.8923339433637
250,744.4826680871419
