,Loss
0,1.5063288316130639
1,1.5266402333974838
2,1.5314744114875793
3,1.4880635470151902
4,1.390234512090683
5,1.3396308034658433
6,1.5970483615994453
7,1.4708299502730369
8,1.014332390576601
9,1.5019737102091313
10,1.6726246237754823
11,1.7351851239800453
12,1.6422997925430536
13,1.3446371966041624
14,1.7514103999827058
15,1.333012373035308
16,2.593272893270478
17,2.1047078744042667
18,2.09549406634178
19,1.4460212089041307
20,2.4843192028813066
21,3.3807211654260754
22,2.2336477070115506
23,2.8578963192878293
24,4.490550886461278
25,3.475779746135231
26,3.485353163139371
27,3.5844559551216664
28,4.2090526945889
29,5.03481902834028
30,4.607020942494273
31,4.527731362916529
32,3.7699121313169597
33,4.62451143800281
34,4.541194536001422
35,3.902790017053485
36,5.035739789740182
37,3.4481887151720003
38,3.556888703024015
39,6.598429878721072
40,5.295450257267658
41,5.499659975990653
42,6.1740746140480045
43,6.417055221647024
44,6.9855419307947155
45,6.321979048894718
46,7.340795463509858
47,7.5672726929187775
48,8.041359400749206
49,8.37502208352089
50,7.357889012992382
51,7.548023167159409
52,8.21287073791027
53,8.57554939314723
54,9.233408735692501
55,9.48011117465794
56,10.319672415032983
57,9.418291461467742
58,11.37920144200325
59,11.157883454859256
60,12.882973051071167
61,12.071281213220209
62,12.682179106399417
63,13.826943099498749
64,14.501179920881986
65,8.796079474652652
66,13.752876514941454
67,10.269678579084575
68,13.106621783971786
69,11.988605260848999
70,12.203050982952117
71,12.951644778903574
72,15.765908336639404
73,15.792664419859648
74,14.737151928246021
75,13.851580867171288
76,20.99129500091076
77,16.128452672157437
78,20.01106365919113
79,20.4601419955492
80,18.97304254490882
81,22.965578532218935
82,23.41679992675781
83,21.575105142593383
84,15.480595406889915
85,10.129597535729408
86,17.094471752643585
87,11.506766691803932
88,12.671412390470504
89,9.685706162452698
90,10.844900965690613
91,13.820083332061767
92,13.159066426753999
93,10.060738304257393
94,8.543897333741189
95,8.31057921051979
96,5.960575795173645
97,6.81036791652441
98,4.911550119519234
99,5.0121277391910555
100,4.596008560806513
101,5.299776411405764
102,4.958239394426346
103,4.098207405628637
104,8.555097842821851
105,4.388942540809512
106,12.198985778912903
107,14.328977623581887
108,12.864364516548813
109,19.1488809466362
110,26.50723746115109
111,44.68126489408314
112,38.59312523305416
113,17.99067128151655
114,8.470301925204694
115,7.160521986335516
116,4.293374259769917
117,3.985664227604866
118,3.502431879378855
119,4.381338769942522
120,3.626759288366884
121,3.826157163083553
122,3.9045638747513296
123,4.571979646687396
124,3.9528804987668993
125,4.380264009302482
126,7.354984501982107
127,6.756919494015165
128,6.854640042036772
129,10.15308630435029
130,14.081917424499988
131,10.078302416030784
132,8.07829524385743
133,6.697790894674836
134,5.654703372670338
135,4.321880973875523
136,2.7178432906977834
137,2.296520113479346
138,1.6238439783541252
139,1.4715646585449575
140,1.6985796282533556
141,2.531721462169662
142,1.484854770277161
143,1.9986781495623291
144,2.1230689624208026
145,1.1670837076500902
146,1.481125242953658
147,2.830814583780011
148,1.656203212030232
149,0.7808610465726815
150,1.2938491241075099
151,1.1523221414536238
152,3.0080514797009528
153,1.14355705880007
154,1.3076222646050155
155,0.7943951938555983
156,2.0773335963720454
