,Reward
0,40.67690447965345
1,10.376634741506011
2,392.0676636937412
3,347.45219227481493
4,707.9463998278821
5,1000.5219464519384
6,519.7968326946676
7,775.2857494742358
8,659.3335400563199
9,462.6787046118768
10,619.5677045502563
11,739.3237213652966
12,616.8749711597908
13,527.8659899317878
14,1268.2791434678254
15,559.2889314001206
16,634.0189452544406
17,790.0200155610086
18,1989.2347704766107
19,470.33364673830846
20,647.8736534494608
21,1825.1513051503414
22,803.8182156311843
23,688.4856711264753
24,519.2030781286439
25,474.1941156460879
26,4057.473812635709
27,492.65773627206147
28,413.2650670925807
29,364.40745878283803
30,610.9084826685631
31,430.7096796310821
32,435.0031065068168
33,1545.4797578237105
34,380.62349439268104
35,812.5371508196031
36,614.3167383096828
37,3897.127137040241
38,473.73037299555233
39,418.70636333966
40,572.8812389490736
41,396.85264145864056
42,4324.040675888238
43,499.91506265581336
44,376.93843685145436
45,535.0988975497817
46,397.387134992268
47,557.8045164379662
48,382.0350696795972
49,488.01564295800813
50,512.632911793965
51,449.36288519637856
52,2027.752219554848
53,389.17159054493345
54,385.6741343629734
55,691.6205674307668
56,387.88523931492017
57,447.80704233046475
58,431.35524978181917
59,493.511408000253
60,471.873615368531
61,439.3747370436717
62,531.0361798489274
63,477.6704082073443
64,445.24078305555275
65,457.58886004796585
66,508.2392838931619
67,424.73473745153484
68,647.861436314477
69,397.62835724367676
70,488.35565130219385
71,502.6473505020528
72,483.5050928917364
73,371.9802364814155
74,464.95073491081126
75,438.86598032464593
76,377.36228797955664
77,457.3000919968207
78,508.25852905248996
79,412.76109830946876
80,860.8542547040146
81,457.0018435569742
82,620.8654625726771
83,493.6328998923702
84,503.9155067748839
85,443.99183720521086
86,512.4784043535376
87,727.5032209112622
88,386.44243637215504
89,439.04587637060683
90,423.5061374396637
91,414.51351249715685
92,589.6094550227602
93,648.752459220551
94,1296.4903603123175
95,516.9777574695074
96,890.4223226144393
97,550.1723277393961
98,2116.756617714099
99,528.0901254325801
100,481.9485917728457
