,Reward
0,30.36568763095414
1,13.72240447842704
2,284.74534410263004
3,194634.62051153768
4,814.7320953331423
5,278075.27042073564
6,69756.2887886813
7,1523.1452078813043
8,2278.4757657688074
9,3879.9271720992137
10,9303.893691160223
11,41224.38038687602
12,6237.770553719795
13,3339.5291365739035
14,2213.8181493131806
15,1326.713754294666
16,4846.97295027501
17,1433.131422561147
18,3758.3161410882803
19,610.9542146696231
20,619.6464519407587
21,1090.2212273224443
22,957.8108507729496
23,2217.2118714257904
24,1044.095561325799
25,895.8544571837753
26,866.3895508093821
27,1102.3163128850235
28,1275.1779182342527
29,701.0576633461231
30,696.5490132546954
31,721.2537522745675
32,671.2865623136609
33,2022.6309168836567
34,1188.5129346407018
35,1381.8801008793814
36,790.1761256209753
37,817.2727684265557
38,760.910687804541
39,971.3897269864547
40,897.6012831572766
41,831.7720523282993
42,889.6508214415744
43,748.3003006767922
44,3451.912970380052
45,596.8812205253455
46,525.6087227449211
47,578.1855003260202
48,836.3972865785777
49,654.8153785118753
50,788.8878252785669
51,881.4362381914643
52,1435.9006634801976
53,818.7461069815773
54,641.2995362732732
55,1024.4329275906427
56,510.43344845329256
57,606.3788711385945
58,808.2564214632023
59,643.7559772812431
60,464.1090412229344
61,587.2706178426506
62,658.9370167520711
63,1013.3762400391181
64,1093.05861584837
65,1212.7283979616043
66,2963.570210390639
67,560.1645084331005
68,2026.8786560721353
69,748.6565743972632
70,1191.3587579499288
71,1291.6621713375248
72,1659.1876692784813
73,523.2764914260362
74,568.7112717658993
75,718.5961124431752
76,556.7518799711561
77,680.8717978694647
78,1165.2582669269643
79,1155.9124323475019
80,919.2882552447862
81,4825.724037149435
82,418.9853399820584
83,425.20119500773734
84,659.8693090351339
85,558.5314573714005
86,587.9534362056218
87,1361.7050016412832
88,535.2262989705728
89,947.754906930631
90,574.3504565246502
91,2767.137495106366
92,208.42529019472065
93,357.3798560761299
94,389.8555697817518
95,6051.715325582556
96,596.4446580453165
97,1061.3950815284109
98,741.2671046192702
99,3017.985864976415
100,1160.2388245344498
101,889.6673055489649
102,608.0631853383576
103,1552.221150843622
104,1341.821498260587
105,1429.4711770960319
106,9474.620768161289
107,582.8464664608354
108,9489.023278991004
109,1115.4298967538766
110,10385.143361241906
111,476.2615912321028
112,420.19466953334194
113,500.68370474198986
114,511.1191934276767
115,553.3331146617759
116,102857.21323961469
117,295.8241767175452
118,374.9854095215359
119,399.6357525600143
120,367.40802166603163
121,274.07502511338936
122,559.7399285147027
123,543.6425263600602
124,527.7957494221573
125,485.3996318834134
126,662.9302865912274
127,427.3929123450455
128,702.419040535898
129,603.3139723954115
130,412.11540104694217
131,473.42140162269635
132,825.4118997783723
133,634.4346943133263
134,76774.11378338488
135,234.3643107898036
136,234.97549552946455
137,2859.2752630891287
138,139.46585845887998
139,161.0218521276699
140,181.62364073985765
141,193.6185776572444
142,422.9992626140507
143,340.00411034310804
144,257.450050441089
145,246.76875669730515
146,243.05382047200766
147,126.60638220225289
148,127.17303029480766
149,146.3577100119264
150,157.91920509230278
151,180.931231780912
152,203.32682758513846
153,303.1735484106303
154,291.2318845680889
155,376.2370602031253
156,162.54072043417102
157,161.66297892781222
158,173.99742745574153
159,182.4357883097767
160,831.07629499885
161,151.16466642977448
162,153.12784137819733
163,141.91372985189219
164,155.97649993796753
165,174.376194039986
166,241.9754485744673
167,267.469934583325
168,241.36821287308283
169,12263.197146180551
170,149.46132167351075
171,176.21283394540814
172,194.76131275104365
173,241.8131219771529
174,424.9046266660122
175,319.30240992577535
176,401.7060874644364
177,2091.55309057019
178,340.2156262894606
179,255.1276489724027
180,176.62467092551813
181,150.37102417819207
182,159.308227703765
183,157.06736509607381
184,119.8385933166487
185,110.14969559361076
186,127.03403990452026
187,119.8298702281116
188,144.70653863831205
189,108.58336210538008
190,117.346230376455
191,107.62205629665557
192,113.43076526584917
193,125.60215019177507
194,136.82741319176228
195,163.29732384416877
196,176.52436611236425
197,278.8710029663986
198,431.3546206826076
199,418.91866297080907
200,235.5568316495136
201,188.46384118153279
202,6052.754622569931
203,208.3092269533896
204,153.82691382340238
205,126.45339676137458
206,133.6388752937294
207,105.93010416472255
208,109.4892543342927
209,98.82999507832471
210,100.98130401486856
211,105.44231843799878
212,118.89498512505588
213,84.50187534493234
214,102.91748289864726
215,133.88717225233802
216,173.37550588149628
217,228.6116855488067
218,177.30099589625814
219,140.15495567571537
220,279.1195097756542
221,365.6025607571568
222,419.5846827765882
223,3287.1543170934233
224,1066.6854336774193
225,655.3575034433339
226,1777.6263443427542
227,669.8659845065253
228,385.2219053874375
229,1098.2946878578728
230,860.4831707757365
231,396.13198564710467
232,340.3609316435711
233,313.7649766161727
234,379.2610172394149
235,432.76658422891717
236,278.97271889176085
237,2259.7202323392935
238,541.5050925743661
239,463.23218570604143
240,462.01496359619136
241,1155.6289934063009
242,17985.32903157066
243,573.7063838887168
244,557.2877334416045
245,649.8139316439427
246,473.7947602464168
247,655.6597887024946
248,587.7897360193499
249,918.0659997556149
250,422.62384441907165
